Date,Open,High,Low,Close,Adj Close,Volume,percentage change
2020-09-21,453.130005,455.679993,407.070007,449.390015,449.390015,109476800,-0.825367986831942
2020-09-22,429.600006,437.760010,417.600006,424.230011,424.230011,79580800,-1.2499988186685493
2020-09-23,405.160004,412.149994,375.880005,380.359985,380.359985,95074200,-6.121043231108276
2020-09-24,363.799988,399.500000,351.299988,387.790009,387.790009,96561100,6.594288562758285
2020-09-25,393.470001,408.730011,391.299988,407.339996,407.339996,67208500,3.5250451024854526
2020-09-28,424.619995,428.079987,415.549988,421.200012,421.200012,49719600,-0.805422033882319
2020-09-29,416.000000,428.500000,411.600006,419.070007,419.070007,50219300,0.7379824519230711
2020-09-30,421.320007,433.929993,420.470001,429.010010,429.010010,48145600,1.825216669570607
2020-10-01,440.760010,448.880005,434.420013,448.160004,448.160004,50741500,1.6789168327680164
2020-10-02,421.390015,439.130005,415.000000,415.089996,415.089996,71430000,-1.4950565451817883
2020-10-05,423.350006,433.640015,419.329987,425.679993,425.679993,44722800,0.5503689540517018
2020-10-06,423.790009,428.779999,406.049988,413.980011,413.980011,49146300,-2.3148252180716247
2020-10-07,419.869995,429.899994,413.850006,425.299988,425.299988,43127700,1.293255785043646
2020-10-08,438.440002,439.000000,425.299988,425.920013,425.920013,40421100,-2.8555763486197616
2020-10-09,430.130005,434.589996,426.459991,434.000000,434.000000,28925700,0.8997268163145274
2020-10-12,442.000000,448.739990,438.579987,442.299988,442.299988,38791100,0.06787058823529069
2020-10-13,443.350006,448.890015,436.600006,446.649994,446.649994,34463700,0.744330203076615
2020-10-14,449.779999,465.899994,447.350006,461.299988,461.299988,47879700,2.5612497277808055
2020-10-15,450.309998,456.570007,442.500000,448.880005,448.880005,35672400,-0.3175574618265581
2020-10-16,454.440002,455.950012,438.850006,439.670013,439.670013,32775900,-3.250151600870737
2020-10-19,446.239990,447.000000,428.869995,430.829987,430.829987,36287800,-3.4532994230301863
2020-10-20,431.750000,431.750000,419.049988,421.940002,421.940002,31656300,-2.272147770700639
2020-10-21,422.700012,432.950012,421.250000,422.640015,422.640015,32370500,-0.014193754032826912
2020-10-22,441.920013,445.230011,424.510010,425.790009,425.790009,39993200,-3.6499826949452925
2020-10-23,421.839996,422.890015,407.380005,420.630005,420.630005,33717000,-0.2868364810054669
2020-10-26,411.630005,425.760010,410.000000,420.279999,420.279999,28239200,2.1014002611398537
2020-10-27,423.760010,430.500000,420.100006,424.679993,424.679993,22686500,0.2171000043161227
2020-10-28,416.480011,418.600006,406.000000,406.019989,406.019989,25451400,-2.5115303793055226
2020-10-29,409.959991,418.059998,406.459991,410.829987,410.829987,22655300,0.21221485488812364
2020-10-30,406.899994,407.589996,379.109985,388.040009,388.040009,42511300,-4.635041847653602
2020-11-02,394.000000,406.980011,392.299988,400.510010,400.510010,29021100,1.6522868020304626
2020-11-03,409.730011,427.769989,406.690002,423.899994,423.899994,34351700,3.4583707855366255
2020-11-04,430.619995,435.399994,417.100006,420.980011,420.980011,32143100,-2.2386289795948806
2020-11-05,428.299988,440.000000,424.000000,438.089996,438.089996,28414500,2.2857829265220526
2020-11-06,436.100006,436.570007,424.279999,429.950012,429.950012,21706000,-1.4102256169196181
2020-11-09,439.500000,452.500000,421.000000,421.260010,421.260010,34833000,-4.1501683731513035
2020-11-10,420.089996,420.089996,396.029999,410.359985,410.359985,30284200,-2.316172984990576
2020-11-11,416.450012,418.700012,410.579987,417.130005,417.130005,17357700,0.16328322257317346
2020-11-12,415.049988,423.000000,409.519989,411.760010,411.760010,19855100,-0.7926703036068905
2020-11-13,410.850006,412.529999,401.660004,408.500000,408.500000,19771100,-0.5719863613680969
2020-11-16,408.929993,412.450012,404.089996,408.089996,408.089996,26838600,-0.2054133994519789
2020-11-17,460.170013,462.000000,433.010010,441.609985,441.609985,61188300,-4.033298015009942
2020-11-18,448.350006,496.000000,443.500000,486.640015,486.640015,78044000,8.540204859504339
2020-11-19,492.000000,508.609985,487.570007,499.269989,499.269989,62475300,1.4776400406504084
2020-11-20,497.989990,502.500000,489.059998,489.609985,489.609985,32911900,-1.6827657519782644
2020-11-23,503.500000,526.000000,501.790009,521.849976,521.849976,50260300,3.644483813306846
2020-11-24,540.400024,559.989990,526.200012,555.380005,555.380005,53648500,2.772017086364887
2020-11-25,550.059998,574.000000,545.369995,574.000000,574.000000,48930200,4.352252860968823
2020-11-27,581.159973,598.780029,578.450012,585.760010,585.760010,37561100,0.7915268108115094
2020-11-30,602.210022,607.799988,554.510010,567.599976,567.599976,63003100,-5.74717203892698
2020-12-01,597.590027,597.849976,572.049988,584.760010,584.760010,40103500,-2.146959691480929
2020-12-02,556.440002,571.539978,541.210022,568.820007,568.820007,47775700,2.224858916595285
2020-12-03,590.020020,598.969971,582.429993,593.380005,593.380005,42552000,0.5694696596905199
2020-12-04,591.010010,599.039978,585.500000,599.039978,599.039978,29401300,1.358685616847683
2020-12-07,604.919983,648.789978,603.049988,641.760010,641.760010,56309700,6.090066130283542
2020-12-08,625.510010,651.280029,618.500000,649.880005,649.880005,64265000,3.896019985355633
2020-12-09,653.690002,654.320007,588.000000,604.479980,604.479980,71291200,-7.528036508045
2020-12-10,574.369995,627.750000,566.340027,627.070007,627.070007,67083200,9.175272465268666
2020-12-11,615.010010,624.000000,596.799988,609.989990,609.989990,46475000,-0.8162501290019543
2020-12-14,619.000000,642.750000,610.200012,639.830017,639.830017,52040600,3.3651077544426493
2020-12-15,643.280029,646.900024,623.799988,633.250000,633.250000,45071500,-1.5592010551908513
2020-12-16,628.229980,632.500000,605.000000,622.770020,622.770020,42095800,-0.869102108116507
2020-12-17,628.190002,658.820007,619.500000,655.900024,655.900024,56270100,4.411089306066348
2020-12-18,668.900024,695.000000,628.539978,695.000000,695.000000,222126200,3.9019248114124703
2020-12-21,666.239990,668.500000,646.070007,649.859985,649.859985,58045300,-2.4585742744142367
2020-12-22,648.000000,649.880005,614.229980,640.340027,640.340027,51716000,-1.1820945987654379
2020-12-23,632.200012,651.500000,622.570007,645.979980,645.979980,33173000,2.17968486846532
2020-12-24,642.989990,666.090027,641.000000,661.770020,661.770020,22865600,2.9207344269854043
2020-12-28,674.510010,681.400024,660.799988,663.690002,663.690002,32278600,-1.60412860292465
2020-12-29,661.000000,669.900024,655.000000,665.989990,665.989990,22910800,0.7549152798789764
2020-12-30,672.000000,696.599976,668.359985,694.780029,694.780029,42846000,3.389885267857145
2020-12-31,699.989990,718.719971,691.119995,705.669983,705.669983,49649900,0.8114391750087694
